ScenarioTitle;ScenarioDescription;CorrectDecisionTitle;CorrectDecisionDescription;IncorrectDecisionTitle;IncorrectDecisionDescription;Explanation;AutonomyScore;CompetenceScore;ConnectednessScore
Een student let niet op en zit op zijn telefoon;Een docent merkt dat een student niet oplet tijdens de les en continu op zijn telefoon zit te kijken.;Vraag de student om de telefoon weg te stoppen;Vraag de student op een beleefde manier om zijn telefoon weg te doen zodat de les voortgezet kan worden.;Gooi de telefoon uit het raam;Je besluit uit frustratie de telefoon van de student uit het raam te gooien.;Het beleefd vragen aan een student om de telefoon weg te doen respecteert de autonomie van de student en houdt de klassfeer positief.;10;5;5
Student weigert huiswerk te maken;Een student weigert consequent huiswerk te maken of deel te nemen aan huiswerkopdrachten.;Plan een gesprek om de situatie te begrijpen;Plan een persoonlijk gesprek met de student om de oorzaken van zijn weerstand tegen huiswerk te begrijpen.;Negeer het gedrag;Besluit om het gedrag van de student te negeren en geen verdere actie te ondernemen.;Het begrijpen van de onderliggende problemen kan helpen om een oplossing te bieden die de student motiveert.;5;10;5
Student toont geen interesse in de stof;Tijdens de les toont een student geen interesse in de stof en lijkt verveeld.;Betrek alle studenten bij de les;Maak gebruik van bijvoorbeeld een open vraag of een video om de aandacht te trekken van de studenten.;Spreek de student aan tijdens de les;Stop midden in de les en vraag de leerling waarom hij niet meedoet.;Interactief onderwijs kan helpen om de interesse van de student te wekken en hem/haar te motiveren en het eenheidsgevoel te vergroten.;0;5;10
"Een student komt vaak te laat;Een student komt vaak te laat en onvoorbereid in de les.;Begrijp de redenen voor het te laat komen;Ga na de les naar de student toe om te vragen waarom hij of zij steeds te laat komt en werk samen aan een oplossing.;Straf de student met extra opdrachten;Geef de student extra opdrachten voor het vaak te laat komen.;Door te laten zien dat je de student wil helpen en begrijpen, bevorder je het gevoel van verbondenheid.;5;0;10"
"Een student haalt lage cijfers ondanks hard werken;De docent merkt dat een student hard zijn/haar best doet maar de cijfers zijn niet representatief.;Bied extra hulp aan;Bespreek met de student welke specifieke problemen hij of zij ervaart en bied extra hulp aan om prestaties te verbeteren.;Negeer de lage cijfers;De student zal door hard werken vanzelf betere cijfers gaan halen.;Door extra hulp aan te bieden, voelt de student zich gesteund (verbondenheid) en krijgt hij of zij de kans om beter te worden in de stof (competentie), terwijl de autonomie behouden blijft door de keuzevrijheid in hulp. ;5;5;10"
"Student stoort de les door voortdurend te praten;Een student praat erg veel tijdens de les waardoor klasgenoten ook afgeleid raken.;Creeer duidelijke regels en structuur;Bespreek met de hele klas de verwachtingen rondom gedrag tijdens de les en zorg voor een gestructureerde aanpak.;Roep de student tot de orde;Spreek de student aan voor de hele klas om het storende gedrag te stoppen.;Door duidelijkheid te bieden, weten studenten wat er van hen verwacht wordt, wat helpt bij het gevoel van competentie en verbondenheid. Autonomie kan worden bevorderd door heb ij het opstellen van regels te betrekken.;5;5;5"
"Student toont moeite met samenwerken;Een docent merkt dat een student moeite heeft met het samenwerken en hierdoor niet goed mee kan doen.;Faciliteer groepsdynamiek en rolverdeling;Help de groep bij het verdelen van rollen en verantwoordelijkheden en bespreek hoe effectief samen te werken. ;Laat de student alleen werken;Laat de student alleen werken als hij of zij moeite heeft met samenwerken.;Door de student specifieke taken te geven, voelt hij of zij zich competenter. Het ondersteunen van groepsdynamiek bevordert de verbondenheid en de autonomie door het bieden van keuze in rollen.;5;10;10"
"Student toont angst voor toetsen;Een student presteert slecht op toetsen maar weet in de les alle vragen goed te beantwoorden.;Bied ondersteuning en oefenmogelijkheden;Bespreek de angst van de student en bied extra oefenmogelijkheden en ondersteuning aan om de toetsangst te verminderen.;Focus op de prestaties van de student;Stel hoge eisen om de student te motiveren nog beter te leren.;Door extra ondersteuning te bieden, voelt de student zich competenter en minder angstig. Het bespreken van angstgevoelens bevordert de verbondenheid en het gevoel van autonomie door de student keuzes te bieden in oefenmethoden.;5;5;10"
Vermindering in aandacht tijdens de les;De gemiddelde aandacht lijkt achteruit te gaan tijdens de les.;Integreer technologie om het leren te ondersteunen;Gebruik technologische hulpmiddelen zoals educatieve apps en online platforms  om het leerproces toegankelijk te maken.;Vermijd het gebruik van technologie in de les;Beperk het leren tot traditionele methoden zoals boeken en hoorcolleges.;Interactieve lessen bevorderen de betrokkenheid en verbondenheid van studenten. Actieve participatie helpt studenten zich competenter te voelen door praktijkervaring en feedback.;0;5;5
"Parate kennis van de studenten lijkt af te nemen;De docent merkt dat de studenten vaak lang doen over het bedenken van een antwoord.;Gebruik een online quiz;Ontwerp een interactieve online quiz die studenten kunnen gebruiken om hun kennis te toetsen en directe feedback te krijgen;Geef papieren toetsen;Geef de hele klas een korte papieren toets om de kennis te  testen en de student voor te bereiden.;Een interactieve online quiz geeft studenten de mogelijkheid om hun kennis in hun eigen tempo te toetsen, wat hun autonomie bevordert. Directe feedback helpt hen hun competentie te vergroten door hen te laten zien waar ze nog moeten verbeteren. ;5;10;0"
